Brand	             Crompton
Colour	             Lustre Brown
Electric fan design	 Ceiling Fan
Power Source	     Electricity
Style	             Sea Sapphira (1 Star Rated)
Product Dimensions	 54.5D x 25.5W x 19.5H Centimeters
Room Type	         Living Room, Bedroom, Dining Room
Special Feature	     High Velocity
Mounting Type	     downrod mount
Controller Type	     Regulator Control
Material	         Aluminium
Number of Speeds	 3
Wattage	             51 Watts
Finish Type	         Powder Coated
Number of Blades     3
Air Flow Capacity	 210 Cubic Metres per Minute
Speed	             380 RPM
Switch Type	         Push Button
Item Weight	         3.4 Kilograms
Included Components	 Fan motor, Balanced blade set, downrod, canopies, safety cable & shackle kit assembly
Model Name	         CROMPTON SUREBREEZE SEA
Specification Met	 CE
Blade Material	     CRCA
Manufacturer	     Crompton Greaves Consumer Electricals Limited
Country of Origin	 India
Item model number	 CFSBSSP48LB1S
ASIN	             B0BTS9GG2V
